nombre_central,tipo_tecnologia,potencia_instalada_mw,provincia
COMANDANCIA FRÍAS,Termica,,CHACO
COLONIA LA PASTORIL,Termica,,LA PAMPA
BERNARDO DE IRIGOYEN,Termica,,MISIONES
VILLA TRAFUL,Termica,,NEUQUEN
LAS COLORADAS,Termica,,NEUQUEN
IRUYA,Termica,,SALTA
SANTA ISABEL,Termica,,LA PAMPA
EL CAIN,Termica,,RIO NEGRO
CERRO POLICÍA,Termica,,RIO NEGRO
EL CUY,Termica,,RIO NEGRO
CHAPALCO,Termica,,LA PAMPA
ANTOFAGASTA DE LA SIERRA,Termica,,CATAMARCA
SANTA ROSA DE LOS PASTOS GRANDES,Termica,,SALTA
LA TABLADA,Termica,,MISIONES
VILLA LA ANGOSTURA,Termica,,NEUQUEN
JAGUEL DEL MONTE,Termica,,LA PAMPA
EL PEÑON,Termica,,CATAMARCA
RIPIERA,Termica,1.6,CATAMARCA
DESIDERIO TELLO,Termica,4.4,LA RIOJA
MILAGRO,Termica,0.88,LA RIOJA
PORTEZUELO,Termica,04.04,LA RIOJA
VICUÑAS,Termica,3.68,LA RIOJA
CHEPES,Termica,5.6,LA RIOJA
OLPAS,Termica,0.88,LA RIOJA
BIOGAS CTBG BIO DE SOUZA,Biogas,,BUENOS AIRES
P.EOLICO PAMPA ENERGIA,Eolica,,BUENOS AIRES
BIOGAS CTBG BIO-EITTOR ENERGY,Biogas,,BUENOS AIRES
PQUE SOLAR CURA BROCHERO MATER,Fotovoltaica,,CORDOBA
PQUE SOLAR CURA BROCHERO REN2,Fotovoltaica,,CORDOBA
EDEN GENERACION,Termica,5114,BUENOS AIRES
EDEN GENERACION,Termica,1.76,BUENOS AIRES
EDEN GENERACION,Termica,2.64,BUENOS AIRES
EDEN GENERACION,Termica,3.8,BUENOS AIRES
EPEC GENERACION,Termica,5342,CORDOBA
CT SALTA - ENARSA,Termica,,SALTA
C.FOTOV. CAÑADA HONDA 4,Fotovoltaica,,SAN JUAN
EMSA GENERACION,Termica,,MISIONES
