identificador,provincia,departamento,municipio
MZA008-02,Mendoza,Lujan de Cuyo,Luján de Cuyo
CBA296-01,Córdoba,Ischilin,Quilino
CHU032-01,Chubut,Languiñeo,Paso del Sapo
SAL034-01,Salta,La Viña,La Viña
SGO105-01,Santiago del Estero,Guasayan,Doña Luisa
LRJ015-01,La Rioja,Rosario Vera Peñaloza,Rosario Vera Peñaloza
COR062-01,Corrientes,Paso de los Libres,Tapebicuá
NEU020-01,Neuquén,Minas,Las Ovejas
CBA014-01,Córdoba,San Justo,Altos de Chipion
RNO064-01,Río Negro,Pichi Mahuida,Pichi Mahuida
SFE305-01,Santa Fe,La Capital,Santa Fe
SFE305-02,Santa Fe,La Capital,Santa Fe
SFE305-03,Santa Fe,La Capital,Santa Fe
SFE305-04,Santa Fe,La Capital,Santa Fe
SFE305-05,Santa Fe,La Capital,Santa Fe
SFE126-01,Santa Fe,San Lorenzo,Fray Luis Beltrán
CHA068-01,Chaco,General Güemes,Villa Río Bermejito
JUJ038-01,Jujuy,El Carmen,Puesto Viejo
SJU004-01,San Juan,Caucete,Caucete
SCR019-01,Santa Cruz,Deseado,Cañadón Seco
MIS047-01,Misiones,Iguazu,Puerto Libertad
SFE224-01,Santa Fe,Belgrano,Montes de Oca
CHU021-01,Chubut,Telsen,Gan Gan
SGO004-01,Santiago del Estero,Belgrano,Bandera
BUE063-01,Buenos Aires,Junin,Junín
BUE063-02,Buenos Aires,Junin,Junín
BUE063-03,Buenos Aires,Junin,Junín
LAP067-01,La Pampa,Chapaleufu,Sarah
BUE125-01,Buenos Aires,Tornquist,Tornquist
SFE049-01,Santa Fe,San Lorenzo,Capitán Bermúdez
TUC109-01,Tucumán,Monteros,Villa Quinteros
CHA017-01,Chaco,Tapenaga,Cote-Lai
SFE129-01,Santa Fe,Rosario,Funes
CHU031-01,Chubut,Paso de Indios,Paso de Indios
JUJ011-01,Jujuy,Susques,Catua
MIS016-01,Misiones,Leandro N. Alem,Cerro Azul
NEU026-01,Neuquén,Pehuenches,Octavio Pico
CBA091-01,Córdoba,San Justo,Colonia San Pedro
CHA001-01,Chaco,Independencia,Aviá Teraí
RNO069-01,Río Negro,Ñorquinco,Río Chico
CHU009-01,Chubut,Escalante,Comodoro Rivadavia
COR030-01,Corrientes,San Martin,La Cruz
SFE335-01,Santa Fe,Belgrano,Tortugas
CBA052-01,Córdoba,Calamuchita,Villa Cañada del Sauce
LAP007-01,La Pampa,Capital,Anguil
BUE071-01,Buenos Aires,Lincoln,Lincoln
NEU057-01,Neuquén,Zapala,Ramón Castro
CHU005-01,Chubut,Florentino Ameghino,Camarones
SAL015-01,Salta,Metan,El Galpón
SFE042-01,Santa Fe,San Jeronimo,Campo Piaggio
ERI041-01,Entre Ríos,Islas del Ibicuy,Puerto Ibicuy
COR065-01,Corrientes,San Martin,Yapeyú
SGO066-01,Santiago del Estero,Avellaneda,Real Sayana
BUE080-01,Buenos Aires,Marcos Paz,Marcos Paz
CBA157-01,Córdoba,Tercero Arriba,James Craik
LRJ001-01,La Rioja,Arauco,Arauco
TUC036-01,Tucumán,Burruyacu,El Timbó
COR027-01,Corrientes,Ituzaingo,Ituzaingó
BUE014-01,Buenos Aires,Berisso,Berisso
BUE014-02,Buenos Aires,Berisso,Berisso
FOR031-01,Formosa,Patiño,San Martín Dos
CBA308-01,Córdoba,Tercero Arriba,Río Tercero
CBA308-02,Córdoba,Tercero Arriba,Río Tercero
CBA308-03,Córdoba,Tercero Arriba,Río Tercero
CBA308-04,Córdoba,Tercero Arriba,Río Tercero
CAT009-01,Catamarca,Tinogasta,Fiambalá
RNO043-01,Río Negro,Valcheta,Arroyo de la Ventana
SFE266-01,Santa Fe,General Lopez,Rufino
SFE266-02,Santa Fe,General Lopez,Rufino
SFE266-03,Santa Fe,General Lopez,Rufino
SFE257-01,Santa Fe,Castellanos,Ramona
CAT018-01,Catamarca,Paclin,Paclín
CBA207-01,Córdoba,Totoral,Las Peñas
MIS023-01,Misiones,Iguazu,Colonia Wanda
COR068-01,Corrientes,San Roque,Colonia Pando
BUE043-01,Buenos Aires,General Alvear,General Alvear
SGO085-01,Santiago del Estero,Ojo de Agua,Villa Ojo de Agua
SCR014-01,Santa Cruz,Güer Aike,Veintiocho de Noviembre
JUJ029-01,Jujuy,Tilcara,Maimará
COR055-01,Corrientes,San Miguel,San Miguel
SFE175-01,Santa Fe,General Obligado,La Sarita
SFE260-01,Santa Fe,San Lorenzo,Ricardone
MIS063-01,Misiones,Libertador General San Martin,Ruiz de Montoya
SAL022-01,Salta,General Güemes,General Güemes
CBA404-01,Córdoba,Calamuchita,Villa General Belgrano
SFE028-01,Santa Fe,Castellanos,Bella Italia
SGO040-01,Santiago del Estero,Figueroa,La Cañada
LRJ012-01,La Rioja,General San Martin,General San Martín
NEU015-01,Neuquén,Minas,Guañacos
SFE094-01,Santa Fe,Iriondo,Correa
SCR006-01,Santa Cruz,Lago Buenos Aires,Los Antiguos
CHA028-01,Chaco,Bermejo,Isla del Cerrito
ERI022-01,Entre Ríos,Diamante,General Ramírez
CHU047-01,Chubut,Tehuelches,Doctor Atilio Viglione
ERI020-01,Entre Ríos,Gualeguay,General Galarza
SLU044-01,San Luis,Chacabuco,Papagayos
NEU032-01,Neuquén,Picunches,Quili Malal
CBA154-01,Córdoba,Marcos Juarez,Inriville
CHA049-01,Chaco,Libertador General San Martin,Pampa Almirón
SAL005-01,Salta,Cachi,Cachi
SFE348-01,Santa Fe,Iriondo,Villa Eloisa
LAP070-01,La Pampa,Toay,Toay
LAP070-02,La Pampa,Toay,Toay
ERI058-01,Entre Ríos,Villaguay,Villa Clara
RNO032-01,Río Negro,San Antonio,San Antonio Oeste
CBA264-01,Córdoba,San Justo,Morteros
CHU024-01,Chubut,Cushamen,Gualjaina
SAL031-01,Salta,La Candelaria,La Candelaria
JUJ051-01,Jujuy,Susques,Susques
ERI054-01,Entre Ríos,Colon,Ubajay
SGO081-01,Santiago del Estero,Juan Felipe Ibarra,Vilelas
CBA158-01,Córdoba,Colon,Jesús María
CBA158-02,Córdoba,Colon,Jesús María
CBA158-03,Córdoba,Colon,Jesús María
LRJ009-01,La Rioja,General Juan Facundo Quiroga,General Juan Facundo Quiroga
COR049-01,Corrientes,Saladas,Saladas
BUE032-01,Buenos Aires,Coronel Suarez,Coronel Suárez
JUJ004-01,Jujuy,El Carmen,Aguas Calientes
TUC106-01,Tucumán,Burruyacu,Villa Benjamín Aráoz y el Tajamar
CAT019-01,Catamarca,Poman,Pomán
RNO057-01,Río Negro,Ñorquinco,Mamuel Choique
COR010-01,Corrientes,Concepcion,Colonia Santa Rosa
SFE290-01,Santa Fe,Las Colonias,San Jerónimo Norte
BUE117-01,Buenos Aires,San Nicolas,San Nicolás de los Arroyos
MZA014-01,Mendoza,San Martin,San Martín
CBA315-01,Córdoba,Colon,Saldán
CBA315-02,Córdoba,Colon,Saldán
BUE132-01,Buenos Aires,Villa Gesell,Villa Gesell
BUE132-02,Buenos Aires,Villa Gesell,Villa Gesell
BUE082-01,Buenos Aires,Merlo,Merlo
BUE082-02,Buenos Aires,Merlo,Merlo
BUE082-03,Buenos Aires,Merlo,Merlo
BUE082-04,Buenos Aires,Merlo,Merlo
BUE082-05,Buenos Aires,Merlo,Merlo
NEU038-01,Neuquén,Confluencia,Senillosa
RNO033-01,Río Negro,Bariloche,San Carlos de Bariloche
RNO033-02,Río Negro,Bariloche,San Carlos de Bariloche
RNO033-03,Río Negro,Bariloche,San Carlos de Bariloche
RNO033-04,Río Negro,Bariloche,San Carlos de Bariloche
BUE009-01,Buenos Aires,Balcarce,Balcarce
MIS031-01,Misiones,Eldorado,Eldorado
ERI016-01,Entre Ríos,Diamante,Diamante
ERI016-02,Entre Ríos,Diamante,Diamante
ERI016-03,Entre Ríos,Diamante,Diamante
ERI027-01,Entre Ríos,Parana,Hernandarias
CBA263-01,Córdoba,Union,Morrison
CBA263-02,Córdoba,Union,Morrison
RNO052-01,Río Negro,Bariloche,Dina Huapi
FOR002-01,Formosa,Pilcomayo,Clorinda
CBA185-01,Córdoba,Rio Primero,La Posta
BUE054-01,Buenos Aires,General Rodriguez,General Rodríguez
BUE054-02,Buenos Aires,General Rodriguez,General Rodríguez
BUE054-03,Buenos Aires,General Rodriguez,General Rodríguez
BUE054-04,Buenos Aires,General Rodriguez,General Rodríguez
CBA376-01,Córdoba,Colon,Unquillo
CBA376-02,Córdoba,Colon,Unquillo
CHU037-01,Chubut,Rio Senguer,Río Mayo
BUE085-01,Buenos Aires,Moreno,Moreno
SFE020-01,Santa Fe,Rosario,Arroyo Seco
CBA011-01,Córdoba,Santa Maria,Alta Gracia
CBA011-02,Córdoba,Santa Maria,Alta Gracia
BUE017-01,Buenos Aires,Campana,Campana
CBA258-01,Córdoba,Rio Primero,Monte Cristo
BUE094-01,Buenos Aires,Pergamino,Pergamino
BUE094-02,Buenos Aires,Pergamino,Pergamino
BUE094-03,Buenos Aires,Pergamino,Pergamino
BUE094-04,Buenos Aires,Pergamino,Pergamino
BUE002-01,Buenos Aires,Adolfo Gonzales Chaves,Adolfo Gonzáles Chaves
BUE053-01,Buenos Aires,General Pueyrredon,General Pueyrredón
BUE053-02,Buenos Aires,General Pueyrredon,General Pueyrredón
CBA223-01,Córdoba,Calamuchita,Los Cóndores
BUE015-01,Buenos Aires,Bolivar,Bolívar
BUE098-01,Buenos Aires,Presidente Peron,Presidente Perón
BUE035-01,Buenos Aires,Ensenada,Ensenada
CBA411-01,Córdoba,General San Martin,Villa María
BUE050-01,Buenos Aires,General Lavalle,General Lavalle
JUJ033-01,Jujuy,Palpala,Palpalá
ERI040-01,Entre Ríos,La Paz,Piedras Blancas
SFE105-01,Santa Fe,San Martin,El Trébol
BUE024-01,Buenos Aires,Chacabuco,Chacabuco
ERI025-01,Entre Ríos,Gualeguaychu,Gualeguaychú
ERI048-01,Entre Ríos,San Salvador,San Salvador
BUE105-01,Buenos Aires,Rojas,Rojas
BUE105-02,Buenos Aires,Rojas,Rojas
BUE105-03,Buenos Aires,Rojas,Rojas
SAL009-01,Salta,Cerrillos,San José de los Cerrillos
LAP072-01,La Pampa,Trenel,Trenel
BUE004-01,Buenos Aires,Almirante Brown,Almirante Brown
BUE004-02,Buenos Aires,Almirante Brown,Almirante Brown
CBA083-01,Córdoba,Colon,Colonia Caroya
CBA359-01,Córdoba,Totoral,Sinsacate
NEU046-01,Neuquén,Los Lagos,Villa la Angostura
FOR008-01,Formosa,Formosa,Formosa
SGO050-01,Santiago del Estero,Salavina,Los Telares
SGO082-01,Santiago del Estero,Atamisqui,Villa Atamisqui
BUE121-01,Buenos Aires,Tandil,Tandil
COR057-01,Corrientes,San Cosme,Santa Ana
BUE086-01,Buenos Aires,Moron,Morón
BUE086-02,Buenos Aires,Moron,Morón
CBA038-01,Córdoba,San Justo,Brinkmann
CBA148-01,Córdoba,Tercero Arriba,Hernando
CBA148-02,Córdoba,Tercero Arriba,Hernando
CBA042-01,Córdoba,Rio Segundo,Calchín
CBA042-02,Córdoba,Rio Segundo,Calchín
ERI015-01,Entre Ríos,Parana,Crespo
ERI044-01,Entre Ríos,Parana,San Benito
MZA006-01,Mendoza,Las Heras,Las Heras
CBA311-01,Córdoba,San Justo,Sacanta
CBA311-02,Córdoba,San Justo,Sacanta
SAL013-01,Salta,General Güemes,El Bordo
MZA004-01,Mendoza,Junin,Junín
SAL048-01,Salta,Capital,Salta
BUE120-01,Buenos Aires,Suipacha,Suipacha
BUE091-01,Buenos Aires,Patagones,Patagones
CBA012-01,Córdoba,Union,Alto Alegre
BUE075-01,Buenos Aires,Lujan,Luján
